;r^2;esperence;Beta
FEMSAUBD.MX;3.44;5.41;0.24
WALMEX.MX;2.97;5.45;0.25
CEMEXCPO.MX;20.72;8.34;0.91
GFINBURO.MX;6.3;6.36;0.46
BIMBOA.MX;3.91;5.86;0.35
GMEXICOB.MX;7.28;6.85;0.57
GRUMAB.MX;2.74;5.4;0.24
MTN.JO;2.39;5.7;0.31
AGL.JO;3.53;6.16;0.41
NPN.JO;3.92;6.44;0.48
FSR.JO;3.02;5.47;0.26
SBK.JO;0.02;23.52;4.36
BTI.JO;0.04;4.22;-0.03
ABG.JO;2.22;5.34;0.23
SOL.JO;0.89;5.5;0.26
VOD.JO;0.0;9.53;1.18
NED.JO;1.84;5.21;0.2
